num_replicates,ci_width_delta
2,0.05681818181818183
3,0.04924242424242425
4,0.06818181818181818
5,0.053030303030303066
6,0.04924242424242425
7,0.05681818181818188
8,0.04924242424242427
9,0.05681818181818182
10,0.045454545454545546
11,0.05303030303030303
12,0.04924242424242425
13,0.049242424242424296
14,0.05303030303030304
15,0.04545454545454548
16,0.0492424242424242
17,0.05303030303030302
18,0.049242424242424226
19,0.045454545454545456
20,0.0454545454545455
21,0.04545454545454548
22,0.04545454545454547
23,0.04924242424242424
24,0.04166666666666672
25,0.04166666666666666
26,0.0416666666666667
27,0.04545454545454547
28,0.05303030303030297
29,0.04924242424242421
30,0.049242424242424226
31,0.049242424242424254
32,0.03787878787878783
33,0.04924242424242427
34,0.045454545454545484
35,0.03787878787878793
36,0.04166666666666656
37,0.03787878787878786
38,0.049242424242424185
39,0.03787878787878789
40,0.03787878787878793
41,0.03030303030303033
42,0.030303030303030297
43,0.02651515151515149
44,0.034090909090909116
45,0.03409090909090909
46,0.030303030303030262
47,0.030303030303030276
48,0.030303030303030318
49,0.03409090909090905
50,0.0340909090909091
51,0.03030303030303033
52,0.030303030303030304
53,0.030303030303030346
54,0.02272727272727268
55,0.02272727272727275
56,0.037878787878787845
57,0.030303030303030318
58,0.03030303030303029
59,0.030303030303030304
60,0.026515151515151464
61,0.02651515151515149
62,0.02651515151515149
63,0.026515151515151547
64,0.034090909090909075
65,0.03030303030303033
66,0.026515151515151505
67,0.03030303030303029
68,0.026515151515151533
69,0.02651515151515152
70,0.03030303030303022
71,0.03030303030303022
72,0.02651515151515149
73,0.030303030303030276
74,0.026515151515151533
75,0.02651515151515149
76,0.02651515151515159
77,0.02651515151515152
78,0.030303030303030318
79,0.026515151515151505
80,0.03030303030303025
81,0.02651515151515152
82,0.022727272727272735
83,0.022727272727272707
84,0.022727272727272735
85,0.02651515151515149
86,0.022727272727272707
87,0.026515151515151464
88,0.022727272727272776
89,0.02272727272727272
90,0.018939393939393992
91,0.02272727272727279
92,0.02651515151515152
93,0.02651515151515149
94,0.018939393939393978
95,0.026515151515151505
96,0.026515151515151464
97,0.02272727272727279
98,0.02651515151515152
99,0.022727272727272707
100,0.026515151515151533
101,0.02272727272727272
102,0.022727272727272735
103,0.026515151515151575
104,0.026515151515151464
105,0.02272727272727272
106,0.02651515151515152
107,0.026515151515151505
108,0.026515151515151505
109,0.026515151515151478
110,0.02272727272727272
111,0.026515151515151505
112,0.018939393939393923
113,0.022727272727272832
